"Record Id","Lead Owner.id","Lead Owner",Company,"First Name","Last Name","Lead Name",Title,Email,Phone,Fax,Mobile,Website,"Lead Source","Lead Status",Industry,"No. of Employees","Annual Revenue",Rating,"Email Opt Out","Skype ID","Created By.id","Created By","Modified By.id","Modified By","Created Time","Modified Time",Salutation,"Secondary Email","Last Activity Time",Twitter,Tag,Street,City,State,"Zip Code",Country,Description,"Converted Date Time","Lead Conversion Time","Unsubscribed Mode","Unsubscribed Time","Converted Account.id","Converted Account","Converted Contact.id","Converted Contact","Converted Deal.id","Converted Deal","Change Log Time","Is Converted",Locked,"Last Enriched Time","Enrich Status"
zcrm_846472000000424040,zcrm_846472000000343001,"Praveen Ande",,,LastName,LastName,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 20:21:53","2025-01-27 20:21:53",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000424055,zcrm_846472000000343001,"Praveen Ande",,,ande3,ande3,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 21:54:59","2025-01-27 21:54:59",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000424068,zcrm_846472000000343001,"Praveen Ande",,,praveen3,praveen3,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 21:59:08","2025-01-27 21:59:08",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000424089,zcrm_846472000000343001,"Praveen Ande",,praveen7,ande7,"praveen7 ande7",,praveenande7@gmail.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 23:44:43","2025-01-27 23:44:43",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000426003,zcrm_846472000000343001,"Praveen Ande",company,First_Name,LastName,"First_Name LastName",Title_Name,abc@zoho.com,3003003330,fax,10101010,www.domain.com,Advertisement,Contacted,ERP,10,100.1,Active,true,skype_id,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 19:07:54","2025-01-27 19:07:54",,abc1@zoho.com,,twitter55,Testtask,street,City,State,zip_code,Country,description,,,Manual,"2025-01-27 19:07:54",,,,,,,,false,false,,
zcrm_846472000000426015,zcrm_846472000000343001,"Praveen Ande",company,First_Name,LastName,"First_Name LastName",Title_Name,abc@zoho.com,3003003330,fax,10101010,www.domain.com,Advertisement,Contacted,ERP,10,100.1,Active,true,skype_id,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 19:09:46","2025-01-27 19:09:46",,abc1@zoho.com,,twitter55,Testtask,street,City,State,zip_code,Country,description,,,Manual,"2025-01-27 19:09:46",,,,,,,,false,false,,
zcrm_846472000000426027,zcrm_846472000000343001,"Praveen Ande",,,LastName,LastName,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 20:14:14","2025-01-27 20:14:14",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000426039,zcrm_846472000000343001,"Praveen Ande",,,LastName,LastName,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 20:17:57","2025-01-27 20:17:57",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000426051,zcrm_846472000000343001,"Praveen Ande",,,LastName,LastName,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 20:21:05","2025-01-27 20:21:05",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000426073,zcrm_846472000000343001,"Praveen Ande",,,ande4,ande4,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 22:59:59","2025-01-27 22:59:59",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000432001,zcrm_846472000000343001,"Praveen Ande",company,First_Name,LastName,"First_Name LastName",Title_Name,abc@zoho.com,3003003330,fax,10101010,www.domain.com,Advertisement,Contacted,ERP,10,100.1,Active,true,skype_id,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 19:10:40","2025-01-27 19:10:40",,abc1@zoho.com,,twitter55,Testtask,street,City,State,zip_code,Country,description,,,Manual,"2025-01-27 19:10:40",,,,,,,,false,false,,
zcrm_846472000000432013,zcrm_846472000000343001,"Praveen Ande",company,First_Name,LastName,"First_Name LastName",Title_Name,abc@zoho.com,3003003330,fax,10101010,www.domain.com,Advertisement,Contacted,ERP,10,100.1,Active,true,skype_id,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 19:11:50","2025-01-27 19:11:50",,abc1@zoho.com,,twitter55,Testtask,street,City,State,zip_code,Country,description,,,Manual,"2025-01-27 19:11:50",,,,,,,,false,false,,
zcrm_846472000000432032,zcrm_846472000000343001,"Praveen Ande",,praveen5,ande5,"praveen5 ande5",,praveenande5@gmail.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 23:01:22","2025-01-27 23:01:22",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000432044,zcrm_846472000000343001,"Praveen Ande",KKRNP,"updated praveen6","updated ande6","updated praveen6 updated ande6",,updatepraveenande6@gmail.com,,,,,,,,,1232.1,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 23:16:17","2025-01-27 23:46:45",,,"2025-01-27 23:46:45",,,,city,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000432098,zcrm_846472000000343001,"Praveen Ande",,praveen7,ande7,"praveen7 ande7",,praveenande7@gmail.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 23:41:37","2025-01-27 23:41:37",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000438001,zcrm_846472000000343001,"Praveen Ande",,,LastName,LastName,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 20:12:20","2025-01-27 20:12:20",,,,,,,,,,,,,,,,,,,,,,,false,false,,
